‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
↔   2194   left_right_arrow       ↕   2195   up_down_arrow          ↖    2196   north_west_arrow       ↗    2197   north_east_arrow     
↘   2198   south_east_arrow       ↙   2199   south_west_arrow       ↩    21a9   leftwards_arrow_with…  ↪    21aa   rightwards_arrow_wit…
⌚   231a   watch                  ⌛   231b   hourglass              ⌨    2328   keyboard               ⏏    23cf   eject_symbol         
⏩   23e9   black_right-pointing…  ⏪   23ea   black_left-pointing_…  ⏫    23eb   black_up-pointing_do…  ⏬    23ec   black_down-pointing_…
⏭   23ed   black_right-pointing…  ⏮   23ee   black_left-pointing_…  ⏯    23ef   black_right-pointing…  ⏰    23f0   alarm_clock          
⏱   23f1   stopwatch              ⏲   23f2   timer_clock            ⏳    23f3   hourglass_with_flowi…  ⏸    23f8   double_vertical_bar  
⏹   23f9   black_square_for_sto…  ⏺   23fa   black_circle_for_rec…  Ⓜ    24c2   circled_latin_capita…  ▪    25aa   black_small_square   
▫   25ab   white_small_square     ▶   25b6   black_right-pointing…  ◀    25c0   black_left-pointing_…  ◻    25fb   white_medium_square  
◼   25fc   black_medium_square    ◽   25fd   white_medium_small_s…  ◾    25fe   black_medium_small_s…  ☀    2600   black_sun_with_rays  
☁   2601   cloud                  ☂   2602   umbrella               ☃    2603   snowman                ☄    2604   comet                
☎   260e   black_telephone        ☑   2611   ballot_box_with_chec…  ☔    2614   umbrella_with_rain_d…  ☕    2615   hot_beverage         
☘   2618   shamrock               ☝   261d   white_up_pointing_in…  ☠    2620   skull_and_crossbones   ☢    2622   radioactive_sign     
☣   2623   biohazard_sign         ☦   2626   orthodox_cross         ☪    262a   star_and_crescent      ☮    262e   peace_symbol         
☯   262f   yin_yang               ☸   2638   wheel_of_dharma        ☹    2639   white_frowning_face    ☺    263a   white_smiling_face   
♀   2640   female_sign            ♂   2642   male_sign              ♈    2648   aries                  ♉    2649   taurus               
♊   264a   gemini                 ♋   264b   cancer                 ♌    264c   leo                    ♍    264d   virgo                
♎   264e   libra                  ♏   264f   scorpius               ♐    2650   sagittarius            ♑    2651   capricorn            
♒   2652   aquarius               ♓   2653   pisces                 ♠    2660   black_spade_suit       ♣    2663   black_club_suit      
♥   2665   black_heart_suit       ♦   2666   black_diamond_suit     ♨    2668   hot_springs            ♻    267b   black_universal_recy…
♿   267f   wheelchair_symbol      ⚒   2692   hammer_and_pick        ⚓    2693   anchor                 ⚔    2694   crossed_swords       
⚕   2695   staff_of_aesculapius   ⚖   2696   scales                 ⚗    2697   alembic                ⚙    2699   gear                 
⚛   269b   atom_symbol            ⚜   269c   fleur-de-lis           ⚠    26a0   warning_sign           ⚡    26a1   high_voltage_sign    
⚪   26aa   medium_white_circle    ⚫   26ab   medium_black_circle    ⚰    26b0   coffin                 ⚱    26b1   funeral_urn          
⚽   26bd   soccer_ball            ⚾   26be   baseball               ⛄    26c4   snowman_without_snow   ⛅    26c5   sun_behind_cloud     
⛈   26c8   thunder_cloud_and_ra…  ⛎   26ce   ophiuchus              ⛏    26cf   pick                   ⛑    26d1   helmet_with_white_cr…
⛓   26d3   chains                 ⛔   26d4   no_entry               ⛩    26e9   shinto_shrine          ⛪    26ea   church               
⛰   26f0   mountain               ⛱   26f1   umbrella_on_ground     ⛲    26f2   fountain               ⛳    26f3   flag_in_hole         
⛴   26f4   ferry                  ⛵   26f5   sailboat               ⛷    26f7   skier                  ⛸    26f8   ice_skate            
⛹   26f9   person_with_ball       ⛺   26fa   tent                   ⛽    26fd   fuel_pump              ✂    2702   black_scissors       
✅   2705   white_heavy_check_ma…  ✈   2708   airplane               ✉    2709   envelope               ✊    270a   raised_fist          
✋   270b   raised_hand            ✌   270c   victory_hand           ✍    270d   writing_hand           ✏    270f   pencil               
✒   2712   black_nib              ✔   2714   heavy_check_mark       ✖    2716   heavy_multiplication…  ✝    271d   latin_cross          
✡   2721   star_of_david          ✨   2728   sparkles               ✳    2733   eight_spoked_asteris…  ✴    2734   eight_pointed_black_…
❄   2744   snowflake              ❇   2747   sparkle                ❌    274c   cross_mark             ❎    274e   negative_squared_cro…
